Compound,Negative,Neutral,Positive,Source_Account,Timestamp,Tweets,Tweets_Ago
0.4939,0.092,0.704,0.204,@CNN,Sun Jan 07 18:41:13 +0000 2018,Iran was on the right side of History by supporting the iraqi army against ISIS (Muslim Nazis) the fight was good v… https://t.co/4vFL2sX37L,4
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:13 +0000 2018,@AprilDRyan @CNN Rather watch🏈🏈🏈🏈HOW MUCH MORE CAN B SAID...#SOS,5
-0.5574,0.221,0.705,0.074,@CNN,Sun Jan 07 18:41:12 +0000 2018,RT @christy_mcafee: You people have no idea what you are doing. This is your home and you actively work to destroy it. @CNN just leave http…,6
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:11 +0000 2018,@essenviews I can't watch mouth breather @JackKingston and @cnn repeatedly putting him on air is the main reason I… https://t.co/fzSk8CyCig,7
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:11 +0000 2018,@CarmineZozzora @NoQuartersFor @CNN @realDonaldTrump @brianstelter @jaketapper @donlemon @wolfblitzer @AC360  https://t.co/BwuvSdssp8,8
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:10 +0000 2018,"RT @PattiSolisDoyle: .@realDonaldTrump, so you DO watch @CNN! https://t.co/ZMSiZJgeX7",9
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:10 +0000 2018,RT @lawrence_male: @PaulaSemenye @CNN @cnnbrk #OurCripplesStillWalking indeed they are still walking.,10
0.4019,0.0,0.863,0.137,@CNN,Sun Jan 07 18:41:05 +0000 2018,@vmetu @WalshFreedom @jaketapper @CNN You didn't trigger me. I'm simply interested in knowing what you were hearing… https://t.co/RoKcoTlkMA,11
0.5255,0.0,0.888,0.112,@CNN,Sun Jan 07 18:41:05 +0000 2018,@CNN Released 4 days early and still sold out on the first day....I’m posting on FB for my friends to pass it on to me when they finish it!,12
-0.3818,0.271,0.729,0.0,@CNN,Sun Jan 07 18:41:05 +0000 2018,@TheBobBailey @amydoodle01 @CNN I disagree with all of it,13
-0.2484,0.233,0.6,0.167,@CNN,Sun Jan 07 18:41:03 +0000 2018,@jack_msw @QueenKristine87 @JonathanStrouse @Clarion50 @CNN you seem like a very hateful person.,14
-0.3612,0.163,0.735,0.102,@CNN,Sun Jan 07 18:41:03 +0000 2018,"RT @GreenPartyUS: Pro tip @CNN: don’t book a racist bigot like Stephen Miller and maybe this won’t happen anymore. #WeAreGreen
https://t.co…",15
-0.5574,0.221,0.705,0.074,@CNN,Sun Jan 07 18:41:02 +0000 2018,RT @christy_mcafee: You people have no idea what you are doing. This is your home and you actively work to destroy it. @CNN just leave http…,16
-0.8774,0.314,0.686,0.0,@CNN,Sun Jan 07 18:41:02 +0000 2018,"RT @Jali_Cat: Oh look! My 8 yr old nephew got a job at @CNN! 

Oh wait, my bad, thats just @jaketapper being his naturally rude obnoxious s…",17
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:02 +0000 2018,RT @odawa49: @ACLU @CNN @MSNBC @JohnKasich  where is our humanity? This is so cold hearted. #Humanity #DemForce #BlueWave https://t.co/9uNN…,18
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:01 +0000 2018,@jaketapper There’s a reason @CNN is #FakeNews,19
-0.7203,0.273,0.727,0.0,@CNN,Sun Jan 07 18:41:01 +0000 2018,RT @NewRightNetwork: #StephenMiller ANNIHILATES @CNN #FakeNews clown #JakeTapper. Makes you almost feel bad for him how pathetically desper…,20
-0.2212,0.126,0.874,0.0,@CNN,Sun Jan 07 18:41:01 +0000 2018,"@CNN DNC, Commie USA, Socialists-R-US, and other fellow travelers probably needing more door stops.",21
-0.3182,0.126,0.794,0.079,@CNN,Sun Jan 07 18:41:01 +0000 2018,RT @CNN: Black dresses will rule the red carpet at the Golden Globes in a show of solidarity for the mission of anti-sexual harassment grou…,22
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:00 +0000 2018,@SamSeder @maddow @chrislhayes @chucktodd @MSNBC @dpakman @NPR @HardballChris @Lawrence @radiodispatch… https://t.co/mVfGLRJIxi,23
-0.296,0.095,0.905,0.0,@CNN,Sun Jan 07 18:40:59 +0000 2018,@freedmspeaks @CNN No. We are only people speak Korean. We were one country more than 1500 yrs. We feel same people… https://t.co/ZJ8i0JfpVT,24
0.2023,0.094,0.781,0.125,@CNN,Sun Jan 07 18:40:59 +0000 2018,"RT @CNN: ""There's only one viewer you care about,"" CNN's Jake Tapper tells Trump aide Stephen Miller during fiery interview #CNNSOTU https:…",25
-0.8715,0.382,0.618,0.0,@CNN,Sun Jan 07 18:40:59 +0000 2018,@eshh85 @Cody09694837 @ganu76 @CNN u all have no sense of humor--none!! N where I live has nthg 2 do wth y I hate t… https://t.co/ycobBRtxh7,26
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:40:59 +0000 2018,Two Americas.  @jaketapper @cnn https://t.co/iQ41za1j3Y,27
0.4404,0.0,0.828,0.172,@CNN,Sun Jan 07 18:40:59 +0000 2018,RT @DavidGarval: More than 230000 signaturas supporting @BBC @TheEconomist @CNN @FinancialTimes @USATODAY @Frankfurter @dailytelegraph @gua…,28
0.2023,0.094,0.781,0.125,@CNN,Sun Jan 07 18:40:58 +0000 2018,"RT @CNN: ""There's only one viewer you care about,"" CNN's Jake Tapper tells Trump aide Stephen Miller during fiery interview #CNNSOTU https:…",29
0.4588,0.0,0.667,0.333,@CNN,Sun Jan 07 18:40:58 +0000 2018,@CNN Who cares about parasite Steve Bannon?,30
0.2023,0.094,0.781,0.125,@CNN,Sun Jan 07 18:40:58 +0000 2018,"RT @CNN: ""There's only one viewer you care about,"" CNN's Jake Tapper tells Trump aide Stephen Miller during fiery interview #CNNSOTU https:…",31
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:40:57 +0000 2018,@odawa49 @ACLU @CNN @MSNBC @JohnKasich The President's Policies Are USA's. We Are the USA. He does this in Our name… https://t.co/6tFWrVEg7S,32
